kind,title,leaders,start,finish,location,lat,lon,description
community,NASAR Tracking Course,TBA,2012-04-14,2012-04-15,"Glen Ellen, CA",,,"NASAR Search and Rescue Tracking Fundamentals

This is a 20+ hour class completed over this 2 day period.

Prerequisite: For an attendee you should be `Track Aware' this is accomplished by having taken a NASAR FUNSAR Course, a 2 day tracking course, or equivalent in-house training.

Location: At Camp Via, on the grounds of the Sonoma State Developmental Center, Eldridge Arnold Rd Glen Ellen CA 38.341353, -122.541203 Camp is on Orchard Rd west of the Center. Access is behind a locked gate and information for entry will be provided.

Time: Saturday will begin at 0800 at Camp Via. Sunday start time will be addressed during class.

Class Fee: $75 per tracker  NASAR member. $95 per tracker  non-NASAR member.

Contact:
George Dresnek
Email: gdresnek@sonoma-county.org"
operation,Santa Clara Mutual Aid,Yaffe,2012-04-21,"",Morgan Hill,37.1464,-121.6441,[http://bamru.blogspot.com/2012/04/santa-clara-mutual-aid.html]
community,NASAR conference,MRA/NASAR,2012-06-07,2012-06-10,"Lake Tahoe, NV",,,"Join your Search and Rescue comrades at the 2012 National Search and Rescue Conference in beautiful Lake Tahoe, NV ~ where California and Nevada meet! The conference is a combined presentation by the Mountain Rescue Association (MRA) and the National Association for Search and Rescue (NASAR).

http://www.nasar.org/page/25/2012-National-Search-and-Rescue-Conference/conference/1788

"
operation,WS-100,Marciniak,2012-06-22,2012-06-24,Auburn,,,BAMRU will be operating a WS-100 (100 mile Trans-Sierra Ultra Marathon) medical station.
operation,Challenging Search in Pacifica,Parker,2012-07-29,"",Pacifica,37.5825,-122.4749,[http://bamru.blogspot.com/2012/07/challenging-search-in-pacifica.html]
community,SAREX 2012,TBA,2012-09-07,2012-09-09,"Coloma, CA",,,More info at sarex.org
training,Operations Leader Training,Chang,2012-10-07,"",Redwood City,,,Training for prospective and continuing Operations Leaders.  Attendance only with Leader's approval.
operation,Vista 3 Search,Frantz,2012-10-11,"",Redwood City,37.4901,-122.3028,Search and recovery of a man near the 'Vista 3' rest stop off high 280 in San Mateo county.
operation,Trinity County Missing Hunter,Kantarjiev,2012-10-11,2012-10-12,Yolla Bolly Wilderness,40.1568,-122.9755,"Hunter missing for four days, mutual aid with Trinity County SAR. 

http://www.mercurynews.com/news/ci_21743745/livermore-man-who-went-missing-while-hiking-found"
community,HMB Pumpkin Festival,TBA,2012-10-13,2012-10-14,Half Moon Bay,,,""
operation,Missing Hunters,Gleason,2012-10-22,2012-10-24,Bear Valley,38.5468,-119.9323,Search for a missing hunter and his 14 year-old nephew in the mountains near Bear Valley.
operation,Missing Hiker,Gleason,2012-10-25,"",Desolation Wilderness,38.9402,-120.142,Search and find of a missing man trapped in an early-season snowstorm in the Desolation Wilderness.
operation,Fresno Search,Frantz,2012-10-29,"",Dinky Lakes,37.2041,-119.0582,Missing person search in the Sierras in Fresno County.
operation,Edgewood Search,Gleason,2012-11-03,"",Redwood City,37.4757,-122.2807,Missing person search near Edgewood Road in San Mateo county.
operation,Aptos Search,Berg-Taylor,2012-11-05,2012-11-06,Nisene Marks SP,37.0242,-121.9063,Missing person search in Nisene Marks SP.
meeting,General Meeting,Chang,2012-11-12,2012-11-12,Redwood City,37.4888,-122.2305,""
community,BAMRU Holiday Party,TBA,2012-12-08,"",TBA,,,""
training,Intro to Snow Camping,Cortes,2012-12-15,2012-12-16,Castle Peak,39.3577,-120.3655,"Tentative pending the availability of snow. If you've never snow camped, or really want to learn how to use chopsticks to anchor your tent, this weekend is for you.  CANCELLED due to lack of snow."
community,BAMRU Dues Renewal,Hoagland,2012-12-15,"",TBA,,,Pay here http://bit.ly/QgJ8nk
operation,Klein Search,Barbour,2012-12-31,2013-01-01,Mt. Tamalpais,37.8993,-122.6375,"At 2245, December 31, 2012, BAMRU was paged to respond immediately as
mutual aid to a missing person search in Marin County. The subject,
Dennis Klein, was a 69 year old male who frequently hikes in the Mount
Tamalpais area, believed to have several medical conditions. The
subject had briefly made contact with 911 to report himself as missing
and had given a brief description of his surroundings before his cell
phone died. The subject was found having slid down into a ravine, and
was evacuated with the help of members of several units. He was found
alive and with only minor injuries. BAMRU had two members in the field
and were flanking an area K9 on a hillside well above the find
location when the search concluded, additionally, several members were
assisting in the CP. All BAMRU members arrived home safe by the
morning of New Year's Day."
community,BASARC Meeting,TBA,2013-01-05,"",EBRP,,,""
meeting,General Meeting,(Not 3rd Monday),2013-01-14,2013-01-14,Redwood City,37.4888,-122.2305,""
training,Winter Skills,Rankin,2013-01-19,2013-01-20,Castle Peak,39.3664,-120.352,"Practice winter camping, navigating, ice axe, avalanche searches, snow anchors. These skills are important for our winter/alpine operations.

"
operation,Mavericks Support,Hoagland,2013-01-20,"",Half Moon Bay,37.4955,-122.498,Crowd control and medical support for the Mavericks Surf Competition.
meeting,Qrtly Leadership Mtg,John Chang,2013-01-22,2013-01-22,San Francisco,37.7404,-122.4296,Quarterly offsite leadership meeting
training,Drivers Ed Class,SMSO,2013-01-23,2013-01-23,400 County Cntr Jury Room,,,Classroom portion of drivers' training takes place from 1900-2100.
training,Mock Search,Farrand,2013-01-26,2013-01-26,Memorial County Park,37.2758,-122.2911,"Our first recruiting event of the year, designed to show guests what it's like to respond to a callout and execute a search."
training,Winter Litter Packaging,Kantarjiev,2013-01-30,2013-01-30,Palo Alto,37.4324,-122.1531,"We'll practice packaging patients for winter conditions, but not in winter conditions."
training,Rescue System Practice,Kantarjiev,2013-02-06,2013-02-06,Palo Alto,37.4323,-122.1532,"We'll practice transitions, especially from lower to raise, of our standard two-line system. We'll also do some knot passes."
training,Snow Rescue Training,Jacobs,2013-02-09,2013-02-10,Truckee Area,39.328,-120.1833,A training focused on snow rescue skills and scenarios in preparations for the MRA recert.
meeting,General Meeting,(Not 3rd Monday),2013-02-11,2013-02-11,Castro Valley,37.7207,-122.0962,""
training,Snow Rescue Training,Dimmler,2013-02-23,2013-02-24,Truckee Area,39.328,-120.1833,A training focused on snow rescue skills and scenarios in preparations for the MRA recert.
training,MLPI/BASARC Mgmt,BASARC,2013-02-23,2013-02-24,Sonoma,,,Attendance at both weekends is required. Apply to the BAMRU BoD if interested.
training,Snow & Ice Re-Accreditation,Mandish,2013-03-02,"",June Lake,37.7798,-119.0754,California MRA Re-Accreditation at June Lake
community,BASARC Meeting,TBA,2013-03-02,"",Sonoma,,,""
training,MLPI/BASARC Management,BASARC,2013-03-02,2013-03-03,Sonoma,,,Attendance at both weekends is required. Apply to the BAMRU BoD if interested.
community,Cache Clean Out,Frantz,2013-03-06,2013-03-06,Redwood City,37.4901,-122.23,Equipment sorting and cleaning at our Redwood City cache.
meeting,General Meeting,TBA,2013-03-18,2013-03-18,Redwood City,37.4889,-122.2305,""
training,SAR Basic,Allen,2013-03-23,2013-03-24,Huddart Park,37.4324,-122.2915,"Intensive weekend training to orient prospective members on the basic skills required to operate effectively in search and rescue operations. Intended for people with no prior SAR experience.

Attendance at SAR Basic is one of the requirements for application to become a Trainee member."
training,CPR/AED,Ellison,2013-03-28,2013-03-28,"400 County Center, Redwood City",,,Challenge format class to renew existing certs. 
training,BASARC Interview Techniques,Young,2013-03-30,2013-03-30,"Concord, CA",,,"The Brendon Theaters
1985 Willow Pass Rd, Concord, CA 94520 

BAMRU Members Only -

Interviewing is an important part of search investigation and yet is often a hastily done and incomplete task. In many searches especially in an urban environment, an interview may be the largest generator of clues on where to search. This presentation/workshop will discuss why we need to interview and compare and contrast interview and interrogation in law enforcement and the unique requirements and needs in the Search and Rescue world. It will probe the ""how to"" mechanics of conducting a good interview from the setting for the interview, to the demeanor of the interviewer, to the type of in depth questions and how the information gathered can be used to paint a mental picture and profile of the missing subject. This information can then be used to assist the planning function in establishing where to look and the best use of SAR resources. The discussions will include initial and post search interviewing, as well as telephone and door-to-door interviewing. The workshop will also include interview practice exercises."
community,Presidential Security Detail,Frantz,2013-04-04,"",Atherton,,,Security Detail for Presidential Visit
meeting,General Meeting,"",2013-04-15,2013-04-15,Castro Valley,37.7207,-122.0962,""
training,CPR/AED,Ellison,2013-04-16,2013-04-16,"400 County Center, Redwood City",,,Challenge format class to renew existing certs. 
meeting,Trainee Interviews -- Day 1,BoD,2013-04-20,2013-04-20,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
community,Ham Cram,BAEARS,2013-04-20,2013-04-20,Los Altos,,,"Get your HAM license in one day.

Cost: $30

Place: Los Altos Hills Town Hall Council Chambers, 26379 Fremont Road, Los Altos Hills

RSVP: from website

http://www.baears.com/index.php?option=com_content&view=article&id=65&Itemid=55"
meeting,Trainee Interviews -- Day 2,BoD,2013-04-21,2013-04-21,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
meeting,Qrtly Leadership Mtg,Chang,2013-04-24,2013-04-24,Berkeley,,,""
training,Small Alpine: Mt. Lassen,Grossman,2013-04-27,2013-04-28,"Red Bluff, CA",,,Small alpine training to climb Mt Lassen on skis. Limit 6 total; contact trip leader for details. 
meeting,Trainee Interviews -- Day 3,BoD,2013-04-27,2013-04-27,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
community,Pacific Coast Dream Machines,SMC SO,2013-04-28,"",Half Moon Bay Airport,,,Support for the Sheriff's Office at the Annual Pacific Coast Dream Machines event in Half Moon Bay.
community,Super Sports Day,Hart,2013-05-03,"",Woodside High School,,,BAMRU assisted the Sheriff's Office at the Super Sports Day event put on by Special Olympics of Northern California which was held at Woodside High School. 
community,BASARC Meeting,Chang,2013-05-04,2013-05-04,"4985 Broder Blvd. Dublin, CA",37.716,-121.8846,"The training for the day will be on ""Point of Dispensing"" POD training, to be a force multiplier for our Public Health Department to assist with dispensing of medications for things like H1N1 flu, Anthrax exposure and other public health emergencies."
community,Trainee Cohort Announced,TBA,2013-05-10,"",TBA,,,The new Trainee cohort will be announced this day.
community,Scout-O-Rama,TBA,2013-05-11,"","History Park, San Jose",,,Annual scouting event and showcase.  BAMRU came to support the new search and rescue merit badge and discuss and demonstrate aspects of mountain rescue.
training,Navigation Skills Classroom,Phelan,2013-05-16,2013-05-16,Jury Assembly Room,,,""
training,Navigation Skills,Phelan,2013-05-18,"",Montebello OSP,,,"Navigation training and signoffs, concentrating on map/compass."
training,Tracking Skills,Cavalieri / Gilmore,2013-05-19,"",Huddart Park,,,"Our introductory tracking class will include a field lecture as well as skills training. Basic principles of tracking, equipment and search techniques will be discussed. We will have an opportunity to review the tracking skills sheet and obtain sign-offs. Please reference the tracking doc on the wiki. Training open to guests who have been sworn."
meeting,General Meeting,"",2013-05-20,2013-05-20,Redwood City,37.4888,-122.2305,""
training,Skills Night: Web Tools,Leak,2013-05-29,2013-05-29,Redwood City,37.4886,-122.2308,"Review the current features of our Web Tools, and see demos of upcoming enhancements.  Provide feedback and help to prioritize future work. 

This will take place in the Jury Assembly Room."
training,Small Alpine Training - Winnemucca Lake,Patti Viri,2013-06-01,2013-06-02,Carson Pass,38.6697,-119.9936,"Small alpine training, exploring the area around Carson Pass. Search scenarios, summit Round Top. Limited to 6 people; contact the trip leader for details."
community,Presidential Visit Security Detail,Hart,2013-06-06,"",Portola Valley,,,Security Detail for Presidential Visit in Portola Valley
training,Small Alpine: Shasta,Jacobs,2013-06-07,2013-06-09,"Shasta City, CA",,,Small alpine training: crevasse rescue and glacier travel on Mt Shasta's north side. Limit 6 total; contact trip leader for details. (Plan to drive Thursday night and sleep high-ish at the trailhead.)
training,Skills Night: Purcell Prusiks,Grishaver,2013-06-12,2013-06-12,Daly CIty,,,"Short version:<br>
Learn and practice Purcell setup and usage prior to the Personal Rock Skills training weekend.
<p>
The details:<br>
Purcell prusiks are awesome: incredibly valuable as part of your personal alpine skills repertoire and used constantly in technical rescue. They're also a bit tricky to set up and require some practice to use effectively. Come to this skills night in the wild alpine hinterlands of Daly City!<p>
44 Shakespeare St, Daly City, CA 94014"
training,Mass Casualty Incidents,Chang,2013-06-15,2013-06-15,Burlingame,,,AMR will host a training to learn triage and incident management and how volunteers fit into the County's emergency plan.
meeting,General Meeting,"",2013-06-17,2013-06-17,Castro Valley,37.7207,-122.0962,""
training,Personal Rock Skills,Hoburg,2013-06-22,2013-06-23,Tahoe,,,"This two day course covers general rock skills skill stations, scenarios, and discussion of their application within the SAR community. Topics include anchors (trad gear and natural protection), belaying, rappelling, basic self-rescue, jugging/ascending, and personal emergency evac equipment with scenarios. Focus will be on both theory and practice. Personal rock skills is a prerequisite for Basic Technical Training."
community,Hug-a-tree at SMCSO STAR Camp,Seffens,2013-06-25,2013-06-25,"Loma Mar, CA",,,"
See:  http://www.smcsheriff.com/communities-we-serve/community-activities/star-camp for details of what STAR camp is.
 
We have performed this presentation for the past 4 years.  By performing this community service, we will be educating kids at the beginning of a week long event.  For many of these kids, it is the first time camping in a wilderness setting.  We equip the kids with some knowledge about how help themselves and us in the event they become lost in the wilderness.  Consider it ""Preventative SAR"".
 
We typically show a 15 minute video, and have a short Q&A about what they learned.  Afterwards, we take the group outside and let the groups perform some little handling exercises where they get a feeling for what it's like to be involved in a rescue and that it's hard work; hopefully it makes it a bit fun, and perhaps they might remember some of the presentation.
 
Members are encouraged to attend and assist with the presentation and supervise the litter handling.  Having members in red shirts or SMCSO uniforms are appreciated.
 "
training,Skills Night,You,2013-06-26,2013-06-26,TBA,,,What skill would you like to learn or teach?
community,Western States 100,Marciniak,2013-06-29,2013-06-30,"Auburn, CA",,,BAMRU provides medical staff for the WS-100 (100 mile trans Sierra Ultra Marathon).
community,BASARC Meeting,Rossie,2013-07-06,2013-07-06,"San Mateo County Center, Building 455, Room 101",,,"The training topic will be a preview and demonstration of the new National Weather Service Enhanced Data Display:

The National Weather Service has been working on a new weather display platform that combines various services to provide a real-time interactive display - including doppler, visible radar, weather station data, real-time webcam images, forecast data, wildfire conditions, and several other useful data capabilities that can be layered on a map that is easily toggled between street and satellite views.  We will demonstrate the beta preview capability of the Enhanced Data Display (EDD).

 

Please note that the Redwood City Fair will be taking place in the Jury Parking Lot adjacent to the County Center complex; parking may be a bit more difficult than usual due to the fair."
training,Drivers Ed Classroom,SMSO,2013-07-10,2013-07-10,455 County Center,,,Classroom portion of drivers' training takes place from 1930-2200.
training,Small Alpine: Chiquito Pass,Mandish,2013-07-12,2013-07-14,"Oakhurst, CA",,,"Small alpine training in the Chiquito Pass/Breeze Lake area, including summits of Gale, Sing, and Redtop Peaks. Limited to 8 people, contact the trip leader for details."
training,Drivers Ed Practical,SMSO,2013-07-13,"",400 County Center Parking Lot,,,Practical portion of driver's training takes place from 0900-1600.
meeting,General Meeting,"",2013-07-15,2013-07-15,Redwood City,37.4888,-122.2305,""
training,Small Alpine: Mt Agassiz,Chu,2013-07-19,2013-07-22,"Big Pine, CA",37.1116,-118.5309,"Small alpine training to climb Mt Agassiz. Practice route finding and safe travel over class 4 terrain. Planning to summit via the East ridge and Northeast face. The latter includes exposed 5.2 grade climbing, which will provide an opportunity to practice personal rock skills and safety. 6 total participants; contact trip leader for details. (Plan to drive up Friday and meet at the trailhead Friday evening.)"
meeting,Qrtly Leadership Mtg,Chang,2013-07-24,2013-07-24,San Francisco,,,""
training,Small Alpine: Bear Creek Spire,Grossman,2013-07-26,2013-07-28,"Tom's Place, CA",,,Small alpine training to climb Bear Creek Spire from Dade Lake. Depart Mosquito Flat Trailhead.
training,Small Alpine: Mount Langley,Fitzgerald,2013-08-08,2013-08-11,"Lone Pine, CA",,,"Summit Mt Langley, the southernmost California 14er. Depart the Bay Area Thursday midday (it's a seven hour drive!), return late Sunday.

Limit 8, contact trip leader for details."
training,Small Alpine: Ritter/Banner,Hart,2013-08-17,2013-08-19,"Mammoth Lakes, CA",,,"Small alpine training, attempting to summit Ritter and Banner. Depart Friday afternoon. Limited to 7, contact trip leader for details."
training,Skills day: Personal rock skills practice,Chromik,2013-08-17,2013-08-17,Redwood City Jury Parking Garage,,,Meet at the parking garage and drill your skills.
meeting,General Meeting,"",2013-08-19,2013-08-19,Castro Valley,37.7207,-122.0962,""
training,Basic Technical Rescue,Lohr,2013-08-24,2013-08-25,RWC/Castle Rock,,,"Basic Technical Rescue is two full days, covering the basics of our standard two-line high-angle rescue system. Participants must have completed the Basic Rock Skills training. "
training,Skills Night: GPS Tricks,Allen,2013-08-28,2013-08-28,Berkeley,,,Compare the features of various GPS units in use by the team and figure out how to load a topo basemap onto yours.
training,Small Alpine: Mt. Laurel,Allen,2013-08-31,2013-09-02,"Bishop, CA",,,Small alpine trip to climb 5.2 Northeast Gully of Mt. Laurel. Contact trip leader for details; limit 6.
training,Skills Night: Mapping,Jacobs,2013-09-05,2013-09-05,Berkeley,,,"Review of mapping tools and technology, with a focus on sarsoft and BAMRU's command post setup."
community,SAREX,TBA,2013-09-06,2013-09-08,Monterey,,,http://www.sarex.org/
training,Tenaya Canyon,McDonnell,2013-09-13,2013-09-15,Yosemite,,,Small group descent of the majestic Tenaya Canyon in Yosemite National Park. Group limited to 7; contact leader for details.
community,BASARC Meeting,TBA,2013-09-14,"",Napa,,,""
meeting,General Meeting,"",2013-09-16,2013-09-16,Redwood City,37.4888,-122.2305,""
training,Skills afternoon - tech rescue,Kantarjiev,2013-09-18,2013-09-18,RWC,,,Need tech rescue signoffs? This is the time. Come with your packet and your polished skills and build/run systems.
training,Skills Night - Tech Rescue Efficiency,Kantarjiev,2013-09-24,2013-09-24,Palo Alto,,,"Come practice being efficient building and running tech systems. We won't fiddle with anchors, we'll just build it, tear it down, and build it again ... against the clock. 

If you've got something dialed, come show off and teach others how to do it better/faster/higher/stronger..."
training,Operations Leader Training,Chang,2013-10-06,"",Redwood City,,,Training for prospective and continuing Operations Leaders. Attendance only with Leader's approval.
training,Technical Rescue Evolutions Training ,Allen,2013-10-19,"",Yosemite,,,"This training is an opportunity to get practice in running our standard 2-line system, and getting dialed as a team. We'll first build and then run, over and over and over, our technical system.  Like a small alpine training, attendance is limited.  We will run this training if we have 8-12 people attending."
meeting,General Meeting,"",2013-10-21,2013-10-21,Castro Valley,37.7207,-122.0962,""
meeting,Qrtly Leadership Meeting,John Chang,2013-10-23,2013-10-23,San Francisco,,,""
training,Medical Skills,Lass/Marciniak,2013-10-26,2013-10-27,Huddart Park,,,"Medical Skills Training is all about putting our skills and knowledge to use. BAMRU has an exciting medical skills training planned this year. Some highlights include guest lecture by Stanford's Wilderness Medicine Fellow, Skill labs with lots of hands on practice, and the first ever BAMRU Medical Olympics where groups compete at a diverse set of wilderness scenarios. The training will be held at Huddart Park in Woodside, CA Participation is open to BAMRU members, trainees & guests with prior permission from leader. <b>Guests must be sworn.</b>"
training,Skills Night,Viri,2013-10-30,2013-10-30,San Francisco,,,Various sign-offs and familiarization of BAMRU skills/concepts. All trainees welcome to attend.
meeting,BASARC Meeting,CoCoSAR,2013-11-02,2013-11-02,"50 Glacier Drive, Martinez",,,"The Contra Costa County Sheriffs SAR Team is hosting the November Bay Area Search and Rescue Council Training and Meeting
 
The Training Tracking Cell Phones, Lessons Learned Presented by Jeff Rhoton CoCo County SO Res Deputy whos expertise was instrumental in resolving the August mutual aid search in Solano Co. Check out his website: http://www.advancedcelltrackingsystems.com/cms/ 
 
The Training and the meeting that will follow, is open to any member of a search and rescue organization or team in the bay area and will be held on: Saturday November 2, 2013 at 10 AM
 
This is the traditional yearly planning meeting for BASARC to set up the training and meeting calendars and to discuss the needs of the bay area SAR teams and how we can support each other.
 
LOCATION:
The location will be in at the CoCo County Sheriff's EOC/OES Training Room at 50 Glacier Drive, Martinez. It is best to park in the parking lot at the Field Operation Building at 1980 Muir Road and walk across the street "
meeting,Contributing to ISRID and Lost Person Behavior,Barbour,2013-11-04,2013-11-04,Berkeley,,,Collect and critique data from BAMRU operations to contribute to SAR Lost Person Behavior statistics.
training,Small Alpine: Slabs of Insanity,Allen,2013-11-09,2013-11-11,Desolation Wilderness,,,Traverse of the Crystal Range in the Desolation Wilderness from the Ralston Trailhead.
meeting,General Meeting,"",2013-11-18,2013-11-18,Redwood City,37.4888,-122.2305,""
training,Skills weekend,Mandish,2013-11-23,2013-11-24,Huddart Park,,,"Skills day and Trainee packet sign offs. An important opportunity for Field and Technical team members to assist Trainees in packet sign offs. Trainees will have an opportunity to demonstrate skills through scenarios, skill stations and miscellaneous needed skill sign offs, as they work toward completing their training packets. This year, we will concentrate on ELT and basics of search management on Saturday, and packet signoffs on Sunday."
meeting,General Meeting,TBA,2013-11-26,"",Redwood City County Room 101,37.4888,-122.2305,""
training,Intro to Snow Camping,Fitzgerald,2013-12-14,2013-12-15,TBA,,,"Tentative pending the availability of snow. If you've never snow camped, or really want to learn how to use chopsticks to anchor your tent, this weekend is for you."
community,BAMRU Dues Renewal,Hoagland,2013-12-15,"",TBA,,,Pay here http://bit.ly/QgJ8nk
training,MLPI Skills Day,Parker,2014-01-11,"",San Pedro County Park,,,A day to train on skills for managing a lost person incident (MLPI).
meeting,General Meeting  (not 3rd Monday),Chang,2014-01-13,2014-01-13,Redwood City Jury Assembly Room,37.4888,-122.2305,""
training,Snow Skills,Tompos,2014-01-18,2014-01-19,Donner Summit,39.3163,-120.3338,"Practice winter camping, navigating, snow travel, beacon and probe searches and self arrest techniques. We will also cover litter rigging and transport techniques. These skills are important for our winter/alpine operations. "
meeting,Qrtly Leadership Mtg,Chang,2014-01-22,2014-01-22,TBA,,,""
training,Guest Mock Search,Zirinsky,2014-01-25,"",Redwood Memorial Park,,,"Our first recruiting event of the year, designed to show guests what it's like to respond to a callout and execute a search."
training,Search Management,Hoagland/Parker,2014-01-26,"","Pulgas Ridge OSP, Redwood City",,,"A day of search management training, focused on ""operational period 0""."
training,Bay Area Joint MRA training,Gilmore/ Mandish,2014-02-01,"","Rodeo Valley, GGNRA, Marin Headlands",,,"ELT, medical rescue, tracking, and search management scenarios training in preparation for the MRA recertification.  This training will be held joint with Marin SAR, Contra Costa SAR, and Monterey SAR."
training,CRMRA Recert Prep Training ,Garcia,2014-02-08,2014-02-09,"Auburn SRA, Auburn CA",,,"We will prepare for the search management recert, focusing on search management, tracking, and ELT practice."
training,BASARC MLPI (weekend 1),TBA,2014-02-08,2014-02-09,TBA,,,Advanced training in search management run by the Bay Area Search and Rescue Council (BASARC).  Each member team can nominate between one and two people to attend the training.  Every nominee must have been active with a SAR team for at least three years.  Attendance at both weekends is required.
training,Tracking Workout,Gilmore,2014-02-10,2014-02-10,Castro Valley,,,Learn tracking skills or brush up on existing skills.
meeting,General Meeting (Not 3rd Monday),TBA,2014-02-10,2014-02-10,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,Drivers Ed Class,SMSO,2014-02-12,2014-02-12,400 County Cntr Jury Room,,,"Driver Training (Classroom) is valid for two years and is required in addition to the practical driving portion that was done last month.  Only sworn members are allowed to drive vehicles, but trainees that expect to be sworn soon, or are just interested are welcome to attend.

NOTE: Access to the building requires a badge, so make sure you are not late or you will not be able to enter the building."
training,BASARC MLPI (weekend 2),TBA,2014-02-15,2014-02-16,TBA,,,Advanced training in search management run by the Bay Area Search and Rescue Council (BASARC).  Each member team can nominate between one and two people to attend the training.  Every nominee must have been active with a SAR team for at least three years.  Attendance at both weekends is required.
training,Bradley Hut winter trip,Jacobs,2014-02-21,2014-02-23,Pole Creek Canyon,,,"We will ski/ snowboard/ snow-shoe in to the Bradley Hut, and spend the weekend getting more familiar with the winter backcountry and travelling efficiently and safely."
training,Search Strategy Re-Accreditation,Mandish,2014-03-01,"",Auburn SRA,,,California MRA Re-Accreditation
training,Vertical Gardening,Gleason,2014-03-10,"",Alcatraz,,,"Rope practice and gardening on Alcatraz Island to assist with invasive species removal.  This will be an all-day event, in which we take the ferry from SF, get briefed by the gardeners, establish necessary rope systems, and spend time hanging out in harnesses with gardening implements."
training,Small Alpine - Castle Crags,Grishaver,2014-03-14,2014-03-16,Castle Crag SP,,,"This training focuses on mastery of your Houdini kit and the associated skills. Hiking distances will be short but strenuous, with decent elevation gain and moderately heavy packs. Much time will be spent in the class 3-5 world (potentially with... moderately heavy packs). You must be fit and psyched. High student-instructor ratio is desired, so the maximum size of this training is 6."
meeting,General Meeting,TBA,2014-03-17,2014-03-17,Redwood City County Room 101,37.4889,-122.2305,""
training,BASARC Alzheimers Training,San Diego SAR,2014-03-22,"",TBA,,,Alzheimers/Autism Training by Kim Kelly and Kayla Harding from San Diego
training,SAR Basic,Nielsen,2014-03-22,2014-03-23,Huddart Park,,,"Intensive weekend training to orient prospective members on the basic skills required to operate effectively in search and rescue operations. Intended for people with no prior SAR experience.

Attendance at SAR Basic is one of the requirements for application to become a Trainee member."
community,Trainee Applications Due,TBA,2014-04-05,"",TBA,,,Due date for all new applications to join BAMRU.
meeting,General Meeting (not 3rd Monday),TBA,2014-04-14,2014-04-14, Castro Valley Nike Classroom,37.7207,-122.0962,""
meeting,Qrtly Leadership Mtg,Chang,2014-04-23,2014-04-23,TBA,,,""
meeting,Trainee Interviews -- Day 1,BoD,2014-04-26,2014-04-26,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
meeting,Trainee Interviews -- Day 2,BoD,2014-04-27,2014-04-27,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
training,Signoffs Day,Dedecko,2014-05-03,2014-05-03,Cragmont,,,"A day dedicated to trainees to get sign-offs.  The focus is not teaching, but testing."
training,Search Practice,Chromik,2014-05-04,"",TBA,,,"A mock search, somewhere."
meeting,Trainee Interviews -- Day 3,BoD,2014-05-04,2014-05-04,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
meeting,Leadership Meeting,TBA,2014-05-05,2014-05-05,TBA,,,""
community,Trainee Class Announced,TBA,2014-05-12,"",TBA,,,""
training,Navigation Skills,Taylor/ Phelan,2014-05-17,"",Monte Bello OSP,,,"Navigation training and signoffs, concentrating on map/compass."
training,Tracking Skills,Gilmore / Dacre / Cavalieri,2014-05-18,"",Redwood Shelter at Huddart Park,,,"Our introductory tracking class will include a field lecture as well as skills training. Basic principles of tracking, equipment and search techniques will be discussed. We will have an opportunity to review the tracking skills sheet and obtain sign-offs. Please reference the tracking doc on the wiki. Training open to guests who have been sworn."
meeting,General Meeting,TBA,2014-05-19,2014-05-19,Redwood City County Room 101,37.4889,-122.2305,""
training,Skills Night: Purcell Prusiks,Grishaver,2014-06-04,2014-06-04,44 Shakespeare St Daly City CA 94014,37.7076,-122.4613,"Short version:
Learn and practice Purcell setup and usage prior to the Personal Rock Skills training weekend.

The details:
Purcell prusiks are awesome: incredibly valuable as part of your personal alpine skills repertoire and used constantly in technical rescue. They're also a bit tricky to set up and require some practice to use effectively. Come to this skills night in the wild alpine hinterlands of Daly City!"
meeting,General Meeting,TBA,2014-06-16,2014-06-16,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,PRS Instructors Skills Night,Blake Gleason,2014-06-18,2014-06-18,Albany,,,Special skills night designed for Personal Rock Skills instructors to get on the same page with the hands-on skills we will be teaching at the PRS training.
training,Personal Rock Skills,Ng,2014-06-21,2014-06-22,Indian Springs,,,"This two day course covers general rock skills skill stations, scenarios, and discussion of their application within the SAR community. Topics include anchors (trad gear and natural protection), belaying, rappelling, basic self-rescue, jugging/ascending, and personal emergency evac equipment with scenarios. Focus will be on both theory and practice. Personal rock skills is a prerequisite for Basic Technical Training."
community,STAR Camp Hug-A-Tree,Seffens,2014-06-24,2014-06-24,Loma Mar YMCA,,,""
community,Western States 100,Marciniak,2014-06-28,2014-06-29,"Auburn, CA",,,BAMRU provides medical staff for the WS-100 (100 mile trans Sierra Ultra Marathon).
training,Mental Health Skills Night,Chromik,2014-07-02,2014-07-02,Grishaver's House- Daly City,,,Come learn how to use the DSM 5 as a reference tool at searches and learn about some common children's mental health diagnoses. 
training,Drivers Training: Classroom,SMSO,2014-07-09,2014-07-09,455 County Center,,,Classroom portion of drivers' training takes place from 1930-2100.  Sign up for practical sessions at the classroom portion.
